Min,Max,Median,Mean,Point_id
0.39978564,0.6525928,0.5177962,0.519454,30221808
0.46406493,0.7429494,0.6076835,0.60674775,30222214
0.23324716,0.43982318,0.2718484,0.27906147,30241688
0.37848902,0.6965318,0.5890411,0.58370423,30242206
0.3233938,0.60530424,0.4547607,0.45477566,30242218
0.6665678,0.8741646,0.832419,0.81329983,30242254
0.12597865,0.30079347,0.14401329,0.1466222,30261988
0.7423581,0.8890352,0.86334544,0.8525958,30262322
0.499443,0.8801427,0.83862364,0.8248585,30281738
0.19872424,0.5065243,0.27740186,0.27871433,30281804
0.43908215,0.5872675,0.542223,0.5398649,30282120
0.1504329,0.8631748,0.7638554,0.70147973,30282128
0.34102026,0.4603838,0.38009387,0.38577622,30282174
0.4180432,0.61551434,0.46881175,0.47631684,30282228
0.19729425,0.3412478,0.29922634,0.29589367,30282264
0.33717465,0.6777988,0.57263744,0.5467274,30001738
0.11511025,0.13828853,0.123689726,0.12384068,30061684
0.6513723,0.8646578,0.84706795,0.84174454,30102128
0.17164315,0.23248279,0.20776474,0.20483413,30122154
0.610308,0.78939825,0.7192482,0.7227157,30162192
0.069647335,0.19774458,0.117969185,0.12159306,30221758
0.58432406,0.80913574,0.69410765,0.6923961,30242188
0.19389763,0.3127109,0.24069488,0.24695899,30301704
0.24012251,0.79305303,0.28250405,0.3361626,30301740
0.39129248,0.68400943,0.5705091,0.5672618,30302150
0.20461623,0.39961097,0.3419209,0.32163987,30302158
0.13879846,0.19914868,0.15170184,0.15464582,30302194
0.29428935,0.5648695,0.39988524,0.40307373,30302208
0.22280933,0.29129463,0.23582089,0.23976107,30302240
0.32562146,0.46786922,0.3813304,0.38905078,30321738
0.44990367,0.75545853,0.6096743,0.62585807,30321990
0.6308851,0.75922817,0.68836564,0.689961,30322206
0.20340878,0.72099644,0.27172208,0.32082015,30322254
0.2234795,0.42754918,0.31394407,0.31849355,30322260
0.17931177,0.38540372,0.26569265,0.26158464,30322278
0.8709526,0.9143969,0.8992266,0.8989902,30322286
0.53382164,0.62853855,0.5852636,0.5856079,30341994
0.22632945,0.31912944,0.27123562,0.27060798,30342090
0.11157601,0.23864031,0.17114785,0.17272696,30342138
0.15203315,0.22766252,0.18361288,0.18218587,30342192
0.57723576,0.7316176,0.6930914,0.6845295,30342234
0.86268216,0.86974686,0.86475104,0.8649694,30342270
0.5044612,0.65183127,0.58206236,0.5849061,30342282
0.0,0.03184899,0.013789426,0.013775174,30362124
0.29211894,0.6333333,0.4681648,0.45727408,30362188
0.21721181,0.24207687,0.22883181,0.22943287,30362206
0.16587678,0.20977597,0.19032066,0.19004498,30362218
0.3288474,0.37003198,0.34569868,0.34623784,30362232
0.2570501,0.34139112,0.3024919,0.29946962,30362254
0.21723105,0.6129707,0.5337119,0.50342643,30362278
0.18697771,0.45191175,0.2826124,0.27418077,30381762
0.33795428,0.9229088,0.8528806,0.78950673,30381978
0.35226855,0.8594519,0.7315699,0.68839675,30381996
0.28577286,0.44939467,0.39517716,0.3947753,30382104
0.15404364,0.19906186,0.17671153,0.17811686,30382148
0.053449064,0.12799168,0.0778716,0.07717717,30382162
0.12493502,0.18197574,0.14608064,0.14729768,30382224
0.20876826,0.35583052,0.25579977,0.26307714,30401728
0.89094377,0.91224724,0.90619063,0.9053337,30401746
0.36615384,0.7099045,0.5156207,0.53532296,30402028
0.1426385,0.20826781,0.15945527,0.16442196,30402106
0.11809839,0.3434384,0.14318612,0.15292399,30402136
0.06610408,0.20544836,0.093121834,0.10382577,30402160
0.15860635,0.1849315,0.17311494,0.17282237,30402186
0.12951869,0.18378378,0.16377205,0.16279733,30402232
0.26152337,0.523741,0.36479968,0.37161016,30421684
0.1363391,0.36650288,0.2347883,0.23533317,30421688
0.3182051,0.53294224,0.45802897,0.44241387,30421714
0.52547306,0.6734503,0.5896815,0.5916758,30421994
0.45240498,0.8064171,0.7557833,0.7444759,30422198
0.13655336,0.18500797,0.16563834,0.16267689,30422224
0.04223157,0.47970864,0.058157645,0.095335916,30441754
0.42863753,0.67422295,0.6501742,0.64418566,30441764
0.6232493,0.72951764,0.7032105,0.70051664,30441998
0.2071522,0.44719502,0.30065975,0.2967955,30442006
0.16140004,0.21707422,0.19721171,0.1966399,30442100
0.19334443,0.33837906,0.22451572,0.24090743,30442178
0.17439373,0.21406305,0.19305629,0.19313832,30442240
0.039246466,0.20510396,0.16346912,0.15192577,30462110
0.17994559,0.29603097,0.2,0.20447142,30462138
0.21411887,0.40416762,0.2380183,0.24662448,30462146
0.56414825,0.6669012,0.6350677,0.63003117,30462170
0.17440318,0.27992564,0.21678795,0.22271383,30462228
0.47347426,0.66411614,0.57003385,0.5669841,30481762
0.061359428,0.22112802,0.13411799,0.13892072,30482104
0.18783543,0.32917532,0.22077614,0.22889294,30482108
0.19224377,0.3024102,0.2520323,0.25303373,30482118
0.117484115,0.24570611,0.15782613,0.16043612,30482140
0.0,0.05661359,0.01583739,0.018651843,30482176
0.07803993,0.17934783,0.10587295,0.111646496,30482230
0.0,0.026354484,0.0019717002,0.0053905025,30483342
0.14412856,0.20274915,0.17762032,0.17604229,30501774
0.13245803,0.16657361,0.14839596,0.1480483,30502088
0.0,0.024794396,0.0063165957,0.007615522,30502124
0.20421496,0.31192487,0.25678596,0.24949008,30502134
0.08413133,0.35914552,0.1620079,0.17193218,30502188
0.2935849,0.41126096,0.37628302,0.37652537,30502200
0.15277527,0.21689217,0.18760563,0.1850663,30502206
0.14908008,0.45864263,0.16367182,0.17239799,30502218
0.16989341,0.39692703,0.2940443,0.2827301,30502250
0.20606166,0.24922402,0.22685693,0.22733518,30502272
0.29831144,0.4246657,0.33978763,0.34674388,30502304
0.26711583,0.3221449,0.29022473,0.2917178,30521680
0.0,0.0284116,0.010359841,0.010469372,30521698
0.20491174,0.30205703,0.23536816,0.24140793,30521752
0.27001593,0.689106,0.5392996,0.524337,30522156
0.36169046,0.45823574,0.4153048,0.4095413,30522162
0.0,0.02336834,0.011194228,0.010379057,30522198
0.21712317,0.41897863,0.32717225,0.33563778,30522202
0.15806337,0.22106853,0.17809695,0.17850898,30522228
0.09681698,0.17611505,0.14130887,0.14433151,30522274
0.25468987,0.3950858,0.33665603,0.33260745,30541732
0.19110212,0.3539506,0.23052555,0.24084456,30541738
0.30587643,0.54193306,0.39335296,0.403766,30541756
0.15817308,0.2810602,0.1977433,0.2024884,30542218
0.47755292,0.68994975,0.5908982,0.58460426,30542250
0.17243147,0.3437305,0.21880588,0.22531396,30561658
0.35973954,0.7565274,0.6644437,0.64287865,30561748
0.29047966,0.38644156,0.34526026,0.3444009,30561964
0.17519282,0.3441241,0.21727355,0.23374492,30561996
0.08614713,0.39645448,0.15837687,0.17281848,30562108
0.21686423,0.33617404,0.25930744,0.25976634,30562144
0.16676904,0.40580365,0.25521666,0.250882,30562158
0.050136894,0.0926287,0.073446326,0.07305672,30562194
0.20705798,0.2733813,0.22230321,0.22647685,30562216
0.16936208,0.24720578,0.2014497,0.20417134,30562270
0.31042826,0.45808768,0.35981664,0.3688794,30581782
0.15657686,0.24171509,0.20536967,0.20257257,30582118
0.33067608,0.81898946,0.50089234,0.53263986,30582222
0.0,0.032797083,0.01661096,0.014278014,30582226
0.19056262,0.28831562,0.22992072,0.23408994,30302288
0.19420114,0.37441352,0.32077625,0.30915698,30341770
0.20731919,0.36597937,0.23629847,0.24217238,30362152
0.12887439,0.3863447,0.15634814,0.16043168,30422138
0.23560882,0.3169927,0.26914895,0.2700852,30462224
0.1973848,0.5653375,0.30439386,0.29626998,30502152
0.0,0.012408014,0.0062058633,0.0060917586,30542196
0.15551081,0.1981914,0.17048602,0.1727429,30582258
0.16953984,0.2552356,0.21553743,0.21422319,30601738
0.10705522,0.13445799,0.11562974,0.116011165,30602110
0.60774326,0.93387693,0.9217168,0.9190774,30602170
0.30005804,0.41384283,0.3371012,0.34411135,30602206
0.26307163,0.39995548,0.30896398,0.32123664,30602224
0.14723073,0.27017096,0.19179699,0.19032389,30602264
0.6351677,0.82697946,0.693801,0.708949,30602278
0.20663996,0.32002282,0.2671153,0.26112762,30602290
0.41987267,0.67952317,0.6327769,0.60444343,30621700
0.2884696,0.5494099,0.39630505,0.40135002,30621728
0.21356422,0.33983666,0.24778105,0.25493467,30621754
0.2529253,0.352776,0.30666393,0.29997826,30621772
0.21454343,0.408533,0.24763916,0.25614914,30622150
0.2018895,0.38441038,0.2979144,0.2994697,30622214
0.26376307,0.3829278,0.33923584,0.3364744,30622262
0.64491916,0.81550735,0.73268527,0.72920996,30622276
0.17695026,0.26509097,0.19883114,0.20456511,30641768
0.34623492,0.68454885,0.60214794,0.56008106,30642134
0.0,0.2027972,0.0856446,0.094391815,30642228
0.15031646,0.2136253,0.18491694,0.18384875,30642260
0.08868379,0.23420452,0.10643168,0.11454833,30661970
0.0,0.07149147,0.030206218,0.029711304,30662104
0.18767595,0.38519794,0.20649447,0.21125524,30662168
